sale_id,sale_date,game_title,category,platform,price,quantity,total_sale
1001,2023-01-01,Dragon Realms,RPG,Xbox,59.99,2,119.98
1002,2023-01-02,Pixel Puzzler,Puzzle,Mobile,9.99,2,19.98
1003,2023-01-02,Shadow Ops,Shooter,PC,44.99,6,269.94
1004,2023-01-02,Galaxy Raiders,Action,PC,39.99,3,119.97
1005,2023-01-03,Cozy Farm Life,Simulation,Nintendo Switch,34.99,5,174.95
1006,2023-01-03,Speed Circuit,Racing,PlayStation,49.99,5,249.95
1007,2023-01-03,Shadow Ops,Shooter,PC,44.99,2,89.98
1008,2023-01-03,Shadow Ops,Shooter,PC,44.99,3,134.97
1009,2023-01-03,Galaxy Raiders,Action,PC,39.99,2,79.98
1010,2023-01-04,Shadow Ops,Shooter,PC,44.99,6,269.94
1011,2023-01-04,Galaxy Raiders,Action,PC,39.99,4,159.96
1012,2023-01-04,Speed Circuit,Racing,PlayStation,49.99,6,299.94
1013,2023-01-04,Shadow Ops,Shooter,PC,44.99,4,179.96
1014,2023-01-05,Mythic Tactics,Strategy,PC,29.99,2,59.98
1015,2023-01-05,Galaxy Raiders,Action,PC,39.99,2,79.98
1016,2023-01-06,Mythic Tactics,Strategy,PC,29.99,3,89.97
1017,2023-01-07,Shadow Ops,Shooter,PC,44.99,5,224.95
1018,2023-01-07,Dragon Realms,RPG,Xbox,59.99,2,119.98
1019,2023-01-07,Speed Circuit,Racing,PlayStation,49.99,5,249.95
1020,2023-01-07,Speed Circuit,Racing,PlayStation,49.99,2,99.98
1021,2023-01-07,Galaxy Raiders,Action,PC,39.99,6,239.94
1022,2023-01-08,Galaxy Raiders,Action,PC,39.99,1,39.99
1023,2023-01-08,Galaxy Raiders,Action,PC,39.99,2,79.98
1024,2023-01-08,Galaxy Raiders,Action,PC,39.99,1,39.99
1025,2023-01-08,Pixel Puzzler,Puzzle,Mobile,9.99,6,59.94
1026,2023-01-09,Mythic Tactics,Strategy,PC,29.99,2,59.98
1027,2023-01-09,Dragon Realms,RPG,Xbox,59.99,5,299.95
1028,2023-01-09,Speed Circuit,Racing,PlayStation,49.99,2,99.98
1029,2023-01-10,Mythic Tactics,Strategy,PC,29.99,4,119.96
1030,2023-01-11,Galaxy Raiders,Action,PC,39.99,3,119.97
1031,2023-01-11,Shadow Ops,Shooter,PC,44.99,2,89.98
1032,2023-01-12,Galaxy Raiders,Action,PC,39.99,1,39.99
1033,2023-01-12,Shadow Ops,Shooter,PC,44.99,4,179.96
1034,2023-01-13,Cozy Farm Life,Simulation,Nintendo Switch,34.99,6,209.94
1035,2023-01-13,Galaxy Raiders,Action,PC,39.99,5,199.95
1036,2023-01-13,Shadow Ops,Shooter,PC,44.99,6,269.94
1037,2023-01-13,Galaxy Raiders,Action,PC,39.99,2,79.98
1038,2023-01-13,Mythic Tactics,Strategy,PC,29.99,4,119.96
1039,2023-01-14,Galaxy Raiders,Action,PC,39.99,3,119.97
1040,2023-01-14,Pixel Puzzler,Puzzle,Mobile,9.99,1,9.99
1041,2023-01-14,Pixel Puzzler,Puzzle,Mobile,9.99,3,29.97
1042,2023-01-14,Mythic Tactics,Strategy,PC,29.99,4,119.96
1043,2023-01-14,Pixel Puzzler,Puzzle,Mobile,9.99,5,49.95
1044,2023-01-15,Galaxy Raiders,Action,PC,39.99,1,39.99
1045,2023-01-15,Pixel Puzzler,Puzzle,Mobile,9.99,1,9.99
1046,2023-01-15,Cozy Farm Life,Simulation,Nintendo Switch,34.99,3,104.97
1047,2023-01-15,Galaxy Raiders,Action,PC,39.99,5,199.95
1048,2023-01-16,Dragon Realms,RPG,Xbox,59.99,2,119.98
1049,2023-01-16,Pixel Puzzler,Puzzle,Mobile,9.99,1,9.99
1050,2023-01-16,Pixel Puzzler,Puzzle,Mobile,9.99,2,19.98
1051,2023-01-16,Speed Circuit,Racing,PlayStation,49.99,5,249.95
1052,2023-01-16,Galaxy Raiders,Action,PC,39.99,5,199.95
1053,2023-01-17,Speed Circuit,Racing,PlayStation,49.99,5,249.95
1054,2023-01-17,Pixel Puzzler,Puzzle,Mobile,9.99,6,59.94
1055,2023-01-17,Shadow Ops,Shooter,PC,44.99,6,269.94
1056,2023-01-17,Pixel Puzzler,Puzzle,Mobile,9.99,5,49.95
1057,2023-01-18,Galaxy Raiders,Action,PC,39.99,3,119.97
1058,2023-01-18,Shadow Ops,Shooter,PC,44.99,4,179.96
1059,2023-01-18,Cozy Farm Life,Simulation,Nintendo Switch,34.99,6,209.94
1060,2023-01-19,Shadow Ops,Shooter,PC,44.99,1,44.99
